fdc_id,description
323008,"hot dogs, beef - nfy1211ee"
323009,"hot dogs, beef - nfy1211ef"
323015,"hot dogs, beef - nfy1211em"
323016,"hot dogs, beef - nfy1211en"
323024,"hot dogs, beef - nfy1211ev"
323025,"hot dogs, beef - nfy1211ew"
323026,"hot dogs, beef - nfy1211ex"
323034,"hot dogs, beef - nfy1211fb"
323041,"hot dogs, beef - nfy1211fi"
323042,"hot dogs, beef - nfy1211fj"
323043,"hot dogs, beef - nfy1211fk"
323044,"hot dogs, beef, hebrew national"
323053,"hot dogs, beef - nfy1211hs"
323059,"hot dogs, beef - nfy1211fz"
323067,"hot dogs, beef - nfy1211g7"
323068,"hot dogs, beef - nfy1211g8"
323076,"hot dogs, beef - nfy1211hb"
323083,"hot dogs, beef - nfy1211hi"
323084,"hot dogs, beef - nfy1211hj"
323094,"hot dogs, beef - nfy1211gh"
323104,"hot dogs, beef - nfy1211h6"
323110,"hot dogs, beef - nfy1211gm"
323111,"hot dogs, beef - nfy1211gn"
323119,"hot dogs, beef - nfy1211gw"
323120,"hot dogs, beef - nfy1211gx"
323121,"frankfurter, beef, unheated"
323122,"almonds, dry roasted, salted"
323127,almonds dry roasted salted
323151,"almonds, dry roasted, salted - nfy1213kj"
323157,"almonds, dry roasted, salted - nfy1213kl"
323158,"almonds, dry roasted, salted - nfy1213km"
323159,"almonds, dry roasted, salted - nfy1213kn"
323160,"almonds, dry roasted, salted - nfy1213kd"
323166,"almonds, dry roasted, salted - nfy1213jx"
323173,"almonds, dry roasted, salted - nfy1213jy"
323174,"almonds, dry roasted, salted - nfy1213jz"
323175,"almonds, dry roasted, salted - nfy1213k0"
323176,"almonds, dry roasted, salted - nfy1213k1"
323177,"almonds, dry roasted, salted - nfy1213jq"
323194,"almonds, dry roasted, salted - nfy1213j7"
323200,"almonds, dry roasted, salted - nfy1213j8"
323201,"almonds, dry roasted, salted - nfy1213j9"
323202,"almonds, dry roasted, salted - nfy1213ja"
323203,"almonds, dry roasted, salted - nfy1213j1"
323219,"almonds, dry roasted, salted - nfy1213ij"
323225,"almonds, dry roasted, salted - nfy1213ik"
323226,"almonds, dry roasted, salted - nfy1213il"
323227,"almonds, dry roasted, salted - nfy1213im"
323228,"almonds, dry roasted, salted - nfy1213id"
323237,"almonds, dry roasted, salted - nfy1213i1"
323243,"almonds, dry roasted, salted - nfy1213i3"
323244,"almonds, dry roasted, salted - nfy1213i4"
323245,"almonds, dry roasted, salted - nfy1213i5"
323246,"almonds, dry roasted, salted - nfy1213i6"
323247,"almonds, dry roasted, salted - nfy1213hu"
323248,"almonds, dry roasted, salted - nfy1213i7"
323249,"almonds, dry roasted, salted - nfy1213hv"
323255,"almonds, dry roasted, salted - nfy1213le"
323261,"almonds, dry roasted, salted - nfy1213lg"
323262,"almonds, dry roasted, salted - nfy1213lh"
323263,"almonds, dry roasted, salted - nfy1213li"
323264,"almonds, dry roasted, salted - nfy1213l8"
323270,"almonds, dry roasted, salted - nfy1213kz"
323276,"almonds, dry roasted, salted - nfy1213l0"
323277,"almonds, dry roasted, salted - nfy1213l1"
323278,"almonds, dry roasted, salted - nfy1213l2"
323279,"almonds, dry roasted, salted - nfy1213kt"
323283,"almonds, dry roasted, salted - nfy1213m0"
323289,"almonds, dry roasted, salted - nfy1213m1"
323290,"almonds, dry roasted, salted - nfy1213m2"
323291,"almonds, dry roasted, salted - nfy1213m3"
323292,"almonds, dry roasted, salted - nfy1213m4"
323293,"almonds, dry roasted, salted - nfy1213lu"
323294,"nuts, almonds, dry roasted"
323295,"cheese, ricotta, whole milk"
323321,ricotta cheese whole milk - nfy1216uc
323337,ricotta cheese whole milk - nfy1216vm
323350,"ricotta cheese, whole milk - nfy1216w7"
323354,ricotta cheese whole milk - nfy1216wd
323360,"ricotta cheese, whole milk"
323389,ricotta cheese whole milk - nfy1216wv
323403,ricotta cheese whole milk - nfy1216xz
323419,ricotta cheese whole milk - nfy1216xi
323433,"ricotta cheese, whole milk - nfy1216uy"
323434,"ricotta cheese, whole milk - nfy1216uz"
323437,ricotta cheese whole milk - nfy1216v4
323445,"kale, fresh, unprepared"
323448,kale - nfy1212ec
323449,kale
323450,"kale, fresh, unprepared - va"
323454,kale - nfy1212ci
323457,"kale, fresh, unprepared - pa"
323461,kale - nfy1212dw
323466,kale - nfy1212dx
323467,kale - nfy1212dy
323468,kale - nfy1212dz
